Format Version,1.23,Take Name,Paola_pasillo_002,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-10-14 05.37.29.050 P. M.,Total Frames in Take,1773,Total Exported Frames,1773,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,-0.089066,0.853278,1.171141,-0.179692,0.685915,1.247809,-0.151349,0.279299,1.281194,-0.047801,0.045174,1.347040,-0.115090,0.436057,1.265674,-0.096474,0.070483,1.290817,-0.096681,0.050577,1.156704,0.174741,0.843659,1.197097,0.229260,0.689398,1.274505,0.175096,0.250924,1.314948,0.053600,0.049494,1.373461,0.151562,0.429592,1.288989,0.108577,0.069404,1.329923,0.099221,0.050061,1.181688,0.019856,0.894586,1.376119
7,0.070000,-0.088580,0.853601,1.171214,-0.179841,0.686221,1.247910,-0.151323,0.279762,1.279807,-0.047919,0.045484,1.347033,-0.114948,0.436229,1.263960,-0.096464,0.070576,1.290572,-0.096885,0.050408,1.156571,0.174904,0.843662,1.197366,0.229392,0.689359,1.274770,0.175125,0.250831,1.314498,0.053548,0.049442,1.373359,0.151728,0.429490,1.288561,0.108584,0.069386,1.329878,0.099231,0.050029,1.181670,0.019991,0.894793,1.376266
8,0.080000,-0.088149,0.854089,1.171249,-0.179938,0.686463,1.247969,-0.151308,0.280228,1.278352,-0.048036,0.045817,1.347030,-0.114831,0.436407,1.262121,-0.096509,0.070742,1.290349,-0.097068,0.050477,1.156523,0.174996,0.843611,1.197608,0.229519,0.689319,1.275028,0.175135,0.250745,1.314069,0.053463,0.049350,1.373219,0.151862,0.429394,1.288144,0.108586,0.069364,1.329831,0.099250,0.049985,1.181646,0.020105,0.894988,1.376431
9,0.090000,-0.087776,0.854832,1.171209,-0.180007,0.686645,1.247977,-0.151307,0.280599,1.276892,-0.048153,0.046177,1.347028,-0.114743,0.436586,1.260186,-0.096598,0.070966,1.290145,-0.097226,0.050745,1.156545,0.175017,0.843530,1.197829,0.229639,0.689273,1.275268,0.175126,0.250668,1.313647,0.053333,0.049213,1.373029,0.151965,0.429308,1.287729,0.108583,0.069343,1.329782,0.099274,0.049933,1.181616,0.020191,0.895164,1.376613
10,0.100000,-0.087343,0.855702,1.171057,-0.180262,0.686898,1.248026,-0.151297,0.280841,1.275414,-0.048273,0.046568,1.347023,-0.114691,0.436771,1.258191,-0.096728,0.071238,1.289951,-0.097342,0.051153,1.156592,0.174977,0.843472,1.198045,0.229742,0.689207,1.275470,0.175096,0.250603,1.313228,0.053172,0.049055,1.372812,0.152030,0.429234,1.287312,0.108572,0.069329,1.329732,0.099293,0.049883,1.181583,0.020239,0.895316,1.376813
11,0.110000,-0.086859,0.856518,1.170853,-0.180510,0.687109,1.248003,-0.151275,0.281012,1.273920,-0.048394,0.046985,1.347006,-0.114671,0.436959,1.256190,-0.096899,0.071546,1.289758,-0.097418,0.051661,1.156644,0.174876,0.843472,1.198264,0.229795,0.689152,1.275646,0.175046,0.250552,1.312819,0.053027,0.048931,1.372626,0.152054,0.429175,1.286893,0.108551,0.069323,1.329684,0.099298,0.049849,1.181554,0.020241,0.895437,1.377025
12,0.120000,-0.086517,0.857162,1.170758,-0.180761,0.687287,1.247905,-0.151261,0.281186,1.272462,-0.048508,0.047399,1.346957,-0.114669,0.437138,1.254245,-0.097112,0.071879,1.289554,-0.097439,0.052232,1.156666,0.174710,0.843520,1.198469,0.229735,0.689186,1.275839,0.174978,0.250519,1.312433,0.052912,0.048858,1.372489,0.152015,0.429127,1.286489,0.108521,0.069323,1.329638,0.099287,0.049835,1.181532,0.020188,0.895524,1.377239
13,0.130000,-0.086402,0.857622,1.170821,-0.181215,0.687558,1.247832,-0.151255,0.281381,1.271078,-0.048606,0.047790,1.346859,-0.114679,0.437302,1.252414,-0.097284,0.072171,1.289294,-0.097386,0.052834,1.156615,0.174482,0.843609,1.198651,0.229557,0.689310,1.276043,0.174896,0.250507,1.312085,0.052816,0.048821,1.372391,0.151898,0.429092,1.286121,0.108481,0.069328,1.329595,0.099264,0.049841,1.181518,0.020071,0.895574,1.377441
14,0.140000,-0.086482,0.857928,1.170996,-0.181661,0.687799,1.247683,-0.151297,0.281593,1.269827,-0.048674,0.048137,1.346701,-0.114700,0.437440,1.250756,-0.097327,0.072351,1.288929,-0.097258,0.053456,1.156478,0.174200,0.843739,1.198803,0.229316,0.689446,1.276196,0.174799,0.250519,1.311792,0.052733,0.048809,1.372320,0.151728,0.429071,1.285812,0.108434,0.069337,1.329557,0.099237,0.049862,1.181511,0.019884,0.895590,1.377611
15,0.150000,-0.086739,0.858088,1.171261,-0.181885,0.687878,1.247358,-0.151438,0.281817,1.268776,-0.048702,0.048426,1.346472,-0.114726,0.437533,1.249327,-0.097307,0.072446,1.288470,-0.097050,0.054097,1.156236,0.173864,0.843881,1.198911,0.229029,0.689551,1.276278,0.174683,0.250550,1.311568,0.052659,0.048810,1.372267,0.151526,0.429064,1.285573,0.108384,0.069348,1.329527,0.099220,0.049881,1.181509,0.019618,0.895575,1.377730
16,0.160000,-0.087165,0.858094,1.171613,-0.182093,0.687911,1.246971,-0.151620,0.281987,1.267900,-0.048680,0.048648,1.346169,-0.114752,0.437563,1.248170,-0.097290,0.072487,1.287926,-0.096745,0.054760,1.155877,0.173483,0.844011,1.198971,0.228691,0.689631,1.276309,0.174546,0.250595,1.311424,0.052598,0.048807,1.372226,0.151294,0.429068,1.285410,0.108339,0.069361,1.329506,0.099222,0.049895,1.181508,0.019267,0.895537,1.377784
